Station Name,RoadSurfaceTemperature,AirTemperature
MagnoliaBridge,96.8,85.4
MagnoliaBridge,96.7,85.4
MagnoliaBridge,96.7,85.4
HarborAveUpperNorthBridge,84.9,73.64
HarborAveUpperNorthBridge,84.8,73.63
HarborAveUpperNorthBridge,84.8,73.63
HarborAveUpperNorthBridge,84.7,73.61
HarborAveUpperNorthBridge,84.7,73.58
HarborAveUpperNorthBridge,84.6,73.58
HarborAveUpperNorthBridge,84.6,73.56
HarborAveUpperNorthBridge,84.6,73.53
HarborAveUpperNorthBridge,84.5,73.52
HarborAveUpperNorthBridge,84.5,73.5
HarborAveUpperNorthBridge,84.4,73.52
HarborAveUpperNorthBridge,84.4,73.53
RooseveltWay_NE80thSt,87.1,87.1
RooseveltWay_NE80thSt,87,87
RooseveltWay_NE80thSt,87,87
RooseveltWay_NE80thSt,87,87
RooseveltWay_NE80thSt,86.9,86.9
RooseveltWay_NE80thSt,86.9,86.9
RooseveltWay_NE80thSt,86.9,86.9
RooseveltWay_NE80thSt,86.9,86.9
RooseveltWay_NE80thSt,86.9,86.9
RooseveltWay_NE80thSt,86.8,86.8
RooseveltWay_NE80thSt,86.8,86.8
RooseveltWay_NE80thSt,86.8,86.8
RooseveltWay_NE80thSt,86.8,86.8
RooseveltWay_NE80thSt,86.8,86.8
RooseveltWay_NE80thSt,86.7,86.7
MagnoliaBridge,96.9,85.5
MagnoliaBridge,96.9,85.6
MagnoliaBridge,96.8,85.4
MagnoliaBridge,96.7,85.4
MagnoliaBridge,96.7,85.4
MagnoliaBridge,96.6,85.4
MagnoliaBridge,96.6,85.6
MagnoliaBridge,96.5,85.9
MagnoliaBridge,96.5,86
MagnoliaBridge,96.4,86.1
MagnoliaBridge,96.4,86.3
MagnoliaBridge,96.3,86.1
MagnoliaBridge,96.3,85.8
MagnoliaBridge,96.2,85.6
MagnoliaBridge,96.1,85.5
AlbroPlaceAirportWay,92.8,81.6
AlbroPlaceAirportWay,92.8,81.6
AlbroPlaceAirportWay,92.8,81.6
AlbroPlaceAirportWay,92.8,81.6
AlbroPlaceAirportWay,92.8,81.6
AlbroPlaceAirportWay,92.8,81.6
AlbroPlaceAirportWay,92.8,81.5
AlbroPlaceAirportWay,92.8,81.5
AlbroPlaceAirportWay,92.8,81.4
AlbroPlaceAirportWay,92.7,81.3
